condition	tx_id	tx_biotype	quantity_relative_to_sum	perc	sample_id
CT	ENST00000264381	protein_coding	NA	0.843345579385042	CT_31
CT	ENST00000264382	protein_coding	NA	0.863999556779854	CT_23
CT	ENST00000264383	protein_coding	NA	0.826857318819741	CT_25
PD	ENST00000264384	protein_coding	NA	0.665033014794168	PD_1
PD	ENST00000264385	protein_coding	NA	0.667705187839014	PD_17
PD	ENST00000264386	protein_coding	NA	0.78327750406897	PD_4
CT	ENST00000540653	protein_coding	NA	0.156654420614958	CT_31
CT	ENST00000540654	protein_coding	NA	0.136000443220146	CT_23
CT	ENST00000540655	protein_coding	NA	0.173142681180259	CT_25
PD	ENST00000540656	protein_coding	NA	0.334966985205832	PD_1
PD	ENST00000540657	protein_coding	NA	0.332294812160986	PD_17
PD	ENST00000540658	protein_coding	NA	0.21672249593103	PD_4
